* Measurement data measured by REW V5.40 beta 100
* Source: /home/giacomo/DRC/DRC-120.blue/X801.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Sep 23, 2025 9:57:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from /home/giacomo/DRC/DRC-120.blue/X801.wav 131072 samples (2.73 s) of 32-bit Float data at 48 kHz
* Measurement: X801 (revised)
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
73.242182 0.000 34.5233
73.608392 0.000 34.7000
73.974603 -0.000 34.8764
74.340814 -0.000 35.0528
74.707025 0.000 35.2294
75.073236 0.000 35.4061
75.439447 0.000 35.5832
75.805658 -0.000 35.7601
76.171869 -0.000 35.9367
76.538080 -0.000 36.1135
76.904291 0.000 36.2905
77.270502 0.000 36.4677
77.636712 0.000 36.6451
78.002923 -0.000 36.8221
78.369134 -0.000 36.9991
78.735345 0.000 37.1763
79.101556 0.000 37.3537
79.467767 0.000 37.5314
79.833978 -0.000 37.7089
80.200189 -0.000 37.8861
80.566400 -0.000 38.0636
80.932611 0.000 38.2412
81.298822 0.000 38.4191
81.665032 0.000 38.5972
82.031243 -0.000 38.7748
82.397454 -0.000 38.9524
82.763665 0.000 39.1303
83.129876 0.000 39.3084
83.496087 0.000 39.4868
83.862298 -0.000 39.6649
84.228509 -0.000 39.8428
84.594720 -0.000 40.0210
84.960931 0.000 40.1992
85.327142 0.000 40.3779
85.693352 0.000 40.5566
86.059563 -0.000 40.7348
86.425774 -0.000 40.9132
86.791985 0.000 41.0918
87.158196 0.000 41.2705
87.524407 0.000 41.4496
87.890618 -0.000 41.6284
88.256829 -0.000 41.8070
88.623040 -0.000 41.9859
88.989251 0.000 42.1648
89.355462 0.000 42.3442
89.721672 0.000 42.5235
90.087883 -0.000 42.7025
90.454094 -0.000 42.8816
90.820305 0.000 43.0609
91.186516 0.000 43.2404
91.552727 0.000 43.4202
91.918938 -0.000 43.5996
92.285149 -0.000 43.7790
92.651360 -0.000 43.9585
93.017571 0.000 44.1382
93.383781 0.000 44.3183
93.749992 0.000 44.4984
94.116203 -0.000 44.6780
94.482414 -0.000 44.8579
94.848625 0.000 45.0379
95.214836 0.000 45.2181
95.581047 0.000 45.3987
95.947258 -0.000 45.5788
96.313469 -0.000 45.7590
96.679680 -0.000 45.9393
97.045891 0.000 46.1197
97.412101 0.000 46.3005
97.778312 0.000 46.4813
98.144523 -0.000 46.6617
98.510734 -0.000 46.8423
98.876945 0.000 47.0230
99.243156 0.000 47.2041
99.609367 0.000 47.3854
99.975578 -0.000 47.5662
100.341789 -0.000 47.7471
100.708000 -0.000 47.9282
101.074211 0.000 48.1094
101.440421 0.000 48.2911
101.806632 0.000 48.4725
102.172843 -0.000 48.6537
102.539054 -0.000 48.8351
102.905265 0.000 49.0166
103.271476 0.000 49.1984
103.637687 0.000 49.3805
104.003898 -0.000 49.5621
104.370109 -0.000 49.7438
104.736320 0.000 49.9256
105.102531 0.000 50.1076
105.468741 0.000 50.2901
105.834952 0.000 50.4723
106.201163 -0.000 50.6543
106.567374 -0.000 50.8364
106.933585 0.000 51.0187
107.299796 0.000 51.2014
107.666007 0.000 51.3842
108.032218 -0.000 51.5666
108.398429 -0.000 51.7491
108.764640 0.000 51.9317
109.130851 0.000 52.1145
109.497061 0.000 52.2977
109.863272 0.000 52.4807
110.229483 -0.000 52.6635
110.595694 -0.000 52.8465
110.961905 0.000 53.0296
111.328116 0.000 53.2131
111.694327 0.000 53.3966
112.060538 -0.000 53.5798
112.426749 -0.000 53.7632
112.792960 0.000 53.9466
113.159171 0.000 54.1302
113.525381 0.000 54.3143
113.891592 0.000 54.4980
114.257803 -0.000 54.6817
114.624014 -0.000 54.8655
114.990225 0.000 55.0493
115.356436 0.000 55.2337
115.722647 0.000 55.4181
116.088858 -0.000 55.6021
116.455069 -0.000 55.7862
116.821280 0.000 55.9704
117.187490 0.000 56.1549
117.553701 0.000 56.3398
117.919912 -0.000 56.5244
118.286123 -0.000 56.7089
118.652334 -0.000 56.8935
119.018545 0.000 57.0782
119.384756 0.000 57.2634
119.750967 0.000 57.4486
120.117178 -0.000 57.6334
120.483389 -0.000 57.8184
120.849600 0.000 58.0034
121.215810 0.000 58.1888
121.582021 0.000 58.3745
121.948232 -0.000 58.5599
122.314443 -0.000 58.7452
122.680654 -0.000 58.9307
123.046865 0.000 59.1162
123.413076 0.000 59.3023
123.779287 0.000 59.4882
124.145498 -0.000 59.6739
124.511709 -0.000 59.8598
124.877920 0.000 60.0456
125.244130 0.000 60.2319
125.610341 0.000 60.4184
125.976552 -0.000 60.6046
126.342763 -0.000 60.7908
126.708974 -0.000 60.9771
127.075185 0.000 61.1635
127.441396 0.000 61.3504
127.807607 0.000 61.5372
128.173818 -0.000 61.7238
