* Measurement data measured by REW V5.40 beta 73
* Source: C:\Users\Ronin\Desktop\XOfix.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Mar 11, 2025 7:20:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from C:\Users\Ronin\Desktop\XOfix.wav 131072 samples (2.73 s) of 64-bit Float data at 48 kHz
* Measurement: XOfix
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.475459 -0.000 0.6800
1.486150 -0.000 0.6849
1.496920 -0.000 0.6898
1.507767 -0.000 0.6947
1.518693 -0.000 0.6996
1.529698 -0.000 0.7046
1.540783 -0.000 0.7097
1.551948 -0.000 0.7147
1.563194 -0.000 0.7198
1.574521 -0.000 0.7250
1.585931 -0.000 0.7302
1.597423 -0.000 0.7354
1.608999 -0.000 0.7407
1.620658 -0.000 0.7460
1.632402 -0.000 0.7514
1.644232 -0.000 0.7568
1.656146 -0.000 0.7622
1.668147 -0.000 0.7677
1.680235 -0.000 0.7733
1.692411 -0.000 0.7788
1.704675 -0.000 0.7844
1.717028 -0.000 0.7901
1.729470 -0.000 0.7958
1.742003 -0.000 0.8015
1.754626 -0.000 0.8073
1.767341 -0.000 0.8131
1.780147 -0.000 0.8190
1.793047 -0.000 0.8249
1.806040 -0.000 0.8309
1.819128 -0.000 0.8369
1.832310 -0.000 0.8429
1.845587 -0.000 0.8490
1.858961 -0.000 0.8551
1.872432 -0.000 0.8613
1.886001 -0.000 0.8675
1.899667 -0.000 0.8738
1.913433 -0.000 0.8801
1.927299 -0.000 0.8865
1.941265 -0.000 0.8929
1.955332 -0.000 0.8993
1.969501 -0.000 0.9058
1.983773 -0.000 0.9124
1.998148 -0.000 0.9190
2.012627 -0.000 0.9256
2.027212 -0.000 0.9323
2.041902 -0.000 0.9390
2.056698 -0.000 0.9458
2.071602 -0.000 0.9527
2.086614 -0.000 0.9596
2.101734 -0.000 0.9665
2.116964 -0.000 0.9735
2.132304 -0.000 0.9805
2.147756 -0.000 0.9876
2.163320 -0.000 0.9948
2.178996 -0.000 1.0020
2.194786 -0.000 1.0093
2.210690 -0.000 1.0166
2.226710 -0.000 1.0239
2.242845 -0.000 1.0313
2.259098 -0.000 1.0388
2.275468 -0.000 1.0464
2.291957 -0.000 1.0539
2.308566 -0.000 1.0616
2.325295 -0.000 1.0693
2.342145 -0.000 1.0770
2.359117 -0.000 1.0848
2.376212 -0.000 1.0927
2.393431 -0.000 1.1006
2.410775 -0.000 1.1086
2.428244 -0.000 1.1167
2.445840 -0.000 1.1248
2.463564 -0.000 1.1329
2.481416 -0.000 1.1412
2.499397 -0.000 1.1495
2.517509 -0.000 1.1578
2.535752 -0.000 1.1662
2.554127 -0.000 1.1747
2.572635 -0.000 1.1832
2.591277 -0.000 1.1918
2.610055 -0.000 1.2005
2.628968 -0.000 1.2092
2.648019 -0.000 1.2180
2.667208 -0.000 1.2268
2.686535 -0.000 1.2357
2.706003 -0.000 1.2447
2.725612 -0.000 1.2537
2.745363 -0.000 1.2629
2.765257 -0.000 1.2720
2.785295 -0.000 1.2813
2.805478 -0.000 1.2906
2.825808 -0.000 1.2999
2.846285 -0.000 1.3094
2.866910 -0.000 1.3189
2.887685 -0.000 1.3285
2.908611 -0.000 1.3381
2.929688 -0.000 1.3478
2.950917 -0.000 1.3576
2.972301 -0.000 1.3675
2.993839 -0.000 1.3774
3.015534 -0.000 1.3874
3.037386 -0.000 1.3974
3.059396 -0.000 1.4076
3.081565 -0.000 1.4178
3.103896 -0.000 1.4281
3.126388 -0.000 1.4384
3.149043 -0.000 1.4489
3.171862 -0.000 1.4594
3.194847 -0.000 1.4700
3.217998 -0.000 1.4806
3.241317 -0.000 1.4914
3.264805 -0.000 1.5022
3.288463 -0.000 1.5131
3.312293 -0.000 1.5241
3.336295 -0.000 1.5351
3.360471 -0.000 1.5463
3.384822 -0.000 1.5575
3.409350 -0.000 1.5688
3.434056 -0.000 1.5802
3.458940 -0.000 1.5917
3.484005 -0.000 1.6032
3.509252 -0.000 1.6148
3.534681 -0.000 1.6266
3.560295 -0.000 1.6384
3.586094 -0.000 1.6502
3.612081 -0.000 1.6622
3.638255 -0.000 1.6743
3.664620 -0.000 1.6864
3.691175 -0.000 1.6987
3.717923 -0.000 1.7110
3.744864 -0.000 1.7234
3.772001 -0.000 1.7359
3.799335 -0.000 1.7485
3.826866 -0.000 1.7612
3.854597 -0.000 1.7740
3.882529 -0.000 1.7869
3.910664 -0.000 1.7998
3.939002 -0.000 1.8129
3.967546 -0.000 1.8260
3.996296 -0.000 1.8393
4.025255 -0.000 1.8526
4.054423 -0.000 1.8661
4.083804 -0.000 1.8796
4.113396 -0.000 1.8932
4.143204 -0.000 1.9070
4.173227 -0.000 1.9208
4.203468 -0.000 1.9347
4.233928 -0.000 1.9488
4.264609 -0.000 1.9629
4.295512 -0.000 1.9772
4.326639 -0.000 1.9915
4.357992 -0.000 2.0059
4.389572 -0.000 2.0205
4.421380 -0.000 2.0352
4.453419 -0.000 2.0499
4.485691 -0.000 2.0648
4.518196 -0.000 2.0798
4.550936 -0.000 2.0949
4.583914 -0.000 2.1101
4.617131 -0.000 2.1254
4.650589 -0.000 2.1408
4.684289 -0.000 2.1563
4.718233 -0.000 2.1720
4.752424 -0.000 2.1877
4.786862 -0.000 2.2036
4.821549 -0.000 2.2196
4.856488 -0.000 2.2357
4.891680 -0.000 2.2519
4.927127 -0.000 2.2682
4.962831 -0.000 2.2847
4.998794 -0.000 2.3012
5.035017 -0.000 2.3179
5.071503 -0.000 2.3347
5.108253 -0.000 2.3517
5.145270 -0.000 2.3687
5.182555 -0.000 2.3859
5.220110 -0.000 2.4032
5.257937 -0.000 2.4207
5.296038 -0.000 2.4382
5.334415 -0.000 2.4559
5.373071 -0.000 2.4737
5.412006 -0.000 2.4917
5.451224 -0.000 2.5097
5.490725 -0.000 2.5279
5.530514 -0.000 2.5463
5.570590 -0.000 2.5647
5.610957 -0.000 2.5833
5.651616 -0.000 2.6021
5.692570 -0.000 2.6210
5.733821 -0.000 2.6400
5.775370 -0.000 2.6591
5.817221 -0.000 2.6784
5.859375 -0.000 2.6978
5.901834 -0.000 2.7174
5.944602 -0.000 2.7371
5.987679 -0.000 2.7570
6.031068 -0.000 2.7769
6.074771 -0.000 2.7971
6.118792 -0.000 2.8174
6.163131 -0.000 2.8378
6.207792 -0.000 2.8584
6.252776 -0.000 2.8791
6.298086 -0.000 2.9000
6.343725 -0.000 2.9210
6.389694 -0.000 2.9422
6.435996 -0.000 2.9636
6.482634 -0.000 2.9851
6.529610 -0.000 3.0067
6.576926 -0.000 3.0285
6.624585 -0.000 3.0505
6.672590 -0.000 3.0726
6.720942 -0.000 3.0949
6.769645 -0.000 3.1173
6.818700 -0.000 3.1399
6.868111 -0.000 3.1627
6.917881 -0.000 3.1857
6.968010 -0.000 3.2088
7.018504 -0.000 3.2320
7.069362 -0.000 3.2555
7.120590 -0.000 3.2791
7.172189 -0.000 3.3029
7.224161 -0.000 3.3268
7.276511 -0.000 3.3509
7.329239 -0.000 3.3752
7.382350 -0.000 3.3997
7.435845 -0.000 3.4244
7.489729 -0.000 3.4492
7.544002 -0.000 3.4742
7.598669 -0.000 3.4994
7.653732 -0.000 3.5248
7.709194 -0.000 3.5504
7.765058 -0.000 3.5761
7.821327 -0.000 3.6021
7.878004 -0.000 3.6282
7.935091 -0.000 3.6545
7.992592 -0.000 3.6810
8.050510 -0.000 3.7077
8.108847 -0.000 3.7346
8.167607 -0.000 3.7617
8.226793 -0.000 3.7890
8.286408 -0.000 3.8164
8.346454 -0.000 3.8441
8.406936 -0.000 3.8720
8.467856 -0.000 3.9001
8.529218 -0.000 3.9284
8.591024 -0.000 3.9569
8.653278 -0.000 3.9856
8.715983 -0.000 4.0145
8.779143 -0.000 4.0436
8.842760 -0.000 4.0729
8.906839 -0.000 4.1024
8.971381 -0.000 4.1322
9.036392 -0.000 4.1622
9.101873 -0.000 4.1924
9.167829 -0.000 4.2228
9.234263 -0.000 4.2534
9.301178 -0.000 4.2842
9.368578 -0.000 4.3153
9.436467 -0.000 4.3466
9.504847 -0.000 4.3781
9.573723 -0.000 4.4099
9.643099 -0.000 4.4419
9.712976 -0.000 4.4741
9.783361 -0.000 4.5065
9.854255 -0.000 4.5392
9.925663 -0.000 4.5721
9.997588 -0.000 4.6053
10.070035 -0.000 4.6387
10.143007 -0.000 4.6723
10.216507 -0.000 4.7062
10.290540 -0.000 4.7404
10.365109 -0.000 4.7747
10.440219 -0.000 4.8094
10.515873 -0.000 4.8443
10.592076 -0.000 4.8794
10.668830 -0.000 4.9148
10.746141 -0.000 4.9504
10.824012 -0.000 4.9863
10.902447 -0.000 5.0225
10.981451 -0.000 5.0589
11.061027 -0.000 5.0956
11.141180 -0.000 5.1326
11.221913 -0.000 5.1698
11.303232 -0.000 5.2073
11.385140 -0.000 5.2451
11.467641 -0.000 5.2831
11.550741 -0.000 5.3215
11.634442 -0.000 5.3601
11.718750 -0.000 5.3989
11.803669 -0.000 5.4381
11.889203 -0.000 5.4775
11.975357 -0.000 5.5173
12.062136 -0.000 5.5573
12.149543 -0.000 5.5976
12.237583 -0.000 5.6382
12.326262 -0.000 5.6791
12.415583 -0.000 5.7203
12.505552 -0.000 5.7618
12.596172 -0.000 5.8036
12.687449 -0.000 5.8457
12.779387 -0.000 5.8881
12.871992 -0.000 5.9308
12.965268 -0.000 5.9738
13.059220 -0.000 6.0172
13.153852 -0.000 6.0608
13.249170 -0.000 6.1048
13.345179 -0.000 6.1491
13.441884 -0.000 6.1937
13.539289 -0.000 6.2386
13.637401 -0.000 6.2839
13.736223 -0.000 6.3295
13.835761 -0.000 6.3754
13.936021 -0.000 6.4216
14.037007 -0.000 6.4682
14.138725 -0.000 6.5151
14.241180 -0.000 6.5624
14.344377 -0.000 6.6100
14.448323 -0.000 6.6580
14.553021 -0.000 6.7063
14.658478 -0.000 6.7549
14.764700 -0.000 6.8040
14.871691 -0.000 6.8533
14.979457 -0.000 6.9030
15.088005 -0.000 6.9531
15.197339 -0.000 7.0036
15.307465 -0.000 7.0544
15.418389 -0.000 7.1056
15.530117 -0.000 7.1571
15.642655 -0.000 7.2091
15.756008 -0.000 7.2614
15.870182 -0.000 7.3141
15.985184 -0.000 7.3672
16.101019 -0.000 7.4206
16.217694 -0.000 7.4745
16.335214 -0.000 7.5287
16.453586 -0.000 7.5833
16.572815 -0.000 7.6384
16.692909 -0.000 7.6938
16.813872 -0.000 7.7496
16.935713 -0.000 7.8059
17.058436 -0.000 7.8625
17.182048 -0.000 7.9196
17.306556 -0.000 7.9771
17.431967 -0.000 8.0350
17.558286 -0.000 8.0933
17.685521 -0.000 8.1520
17.813677 -0.000 8.2112
17.942762 -0.000 8.2708
18.072783 -0.000 8.3308
18.203746 -0.000 8.3913
18.335658 -0.000 8.4522
18.468526 -0.000 8.5136
18.602356 -0.000 8.5754
18.737156 -0.000 8.6376
18.872934 -0.000 8.7003
19.009695 -0.000 8.7635
19.147447 -0.000 8.8271
19.286197 -0.000 8.8912
19.425953 -0.000 8.9557
19.566721 -0.000 9.0207
19.708510 -0.000 9.0862
