* Measurement data measured by REW V5.40 beta 121
* Source: EQ window target shape
* Format: 
* Dated: Aug 12, 2026, 11:32:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Target LRrms+phavg
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 2.5 Hz
*
* Freq(Hz) SPL(dB)
27.878765 72.862
28.080786 72.855
28.284271 72.847
28.489231 72.839
28.695675 72.830
28.903616 72.822
29.113064 72.813
29.324029 72.805
29.536523 72.796
29.750557 72.787
29.966142 72.777
30.183289 72.768
30.402009 72.758
30.622315 72.748
30.844217 72.738
31.067726 72.727
31.292856 72.716
31.519617 72.705
31.748021 72.694
31.978080 72.683
32.209807 72.671
32.443212 72.660
32.678309 72.648
32.915110 72.635
33.153626 72.623
33.393871 72.610
33.635857 72.597
33.879596 72.583
34.125101 72.570
34.372386 72.556
34.621462 72.542
34.872344 72.527
35.125043 72.512
35.379574 72.498
35.635949 72.482
35.894182 72.467
36.154286 72.451
36.416274 72.434
36.680162 72.418
36.945961 72.401
37.213687 72.384
37.483353 72.367
37.754973 72.350
38.028561 72.332
38.304131 72.313
38.581699 72.295
38.861278 72.276
39.142882 72.257
39.426528 72.237
39.712229 72.217
40.000000 72.197
40.289856 72.176
40.581813 72.155
40.875886 72.134
41.172089 72.113
41.470439 72.091
41.770951 72.069
42.073641 72.047
42.378524 72.024
42.685616 72.000
42.994934 71.977
43.306493 71.953
43.620309 71.929
43.936400 71.904
44.254781 71.879
44.575470 71.854
44.898482 71.829
45.223835 71.803
45.551545 71.777
45.881631 71.750
46.214108 71.723
46.548994 71.696
46.886308 71.668
47.226065 71.640
47.568285 71.612
47.912984 71.583
48.260181 71.554
48.609894 71.525
48.962142 71.495
49.316942 71.465
49.674312 71.434
50.034273 71.404
50.396842 71.373
50.762038 71.341
51.129881 71.309
51.500389 71.278
51.873582 71.245
52.249480 71.212
52.628101 71.179
53.009466 71.146
53.393594 71.112
53.780506 71.077
54.170222 71.043
54.562762 71.009
54.958146 70.973
55.356395 70.938
55.757531 70.902
56.161573 70.866
56.568542 70.830
56.978461 70.793
57.391351 70.756
57.807232 70.719
58.226127 70.682
58.648058 70.644
59.073046 70.605
59.501113 70.567
59.932283 70.528
60.366577 70.489
60.804018 70.450
61.244629 70.411
61.688433 70.371
62.135453 70.331
62.585712 70.291
63.039234 70.251
63.496042 70.210
63.956161 70.169
64.419613 70.128
64.886424 70.086
65.356618 70.045
65.830219 70.002
66.307252 69.960
66.787742 69.918
67.271713 69.876
67.759192 69.833
68.250203 69.790
68.744772 69.748
69.242925 69.704
69.744688 69.661
70.250086 69.618
70.759147 69.574
71.271897 69.531
71.788363 69.487
72.308571 69.444
72.832549 69.400
73.360323 69.356
73.891923 69.312
74.427374 69.268
74.966705 69.224
75.509945 69.181
76.057121 69.137
76.608262 69.093
77.163398 69.050
77.722555 69.006
78.285765 68.963
78.853056 68.920
79.424458 68.876
80.000000 68.834
80.579713 68.791
81.163627 68.748
81.751772 68.706
82.344179 68.664
82.940879 68.623
83.541903 68.581
84.147282 68.540
84.757048 68.500
85.371232 68.460
85.989867 68.420
86.612985 68.380
87.240619 68.341
87.872800 68.303
88.509563 68.264
89.150939 68.226
89.796964 68.190
90.447670 68.153
91.103091 68.117
91.763261 68.082
92.428216 68.048
93.097989 68.014
93.772615 67.980
94.452130 67.947
95.136569 67.916
95.825968 67.885
96.520362 67.854
97.219789 67.824
97.924283 67.796
98.633883 67.768
99.348625 67.741
100.068546 67.715
100.793684 67.690
101.524077 67.666
102.259762 67.642
103.000778 67.619
103.747164 67.599
104.498959 67.578
105.256202 67.558
106.018931 67.539
106.787188 67.522
107.561012 67.506
108.340444 67.490
109.125523 67.475
109.916292 67.463
110.712791 67.451
111.515061 67.439
112.323145 67.428
