* Measurement data measured by REW V5.40 beta 133
* Source: EQ window target shape
* Format: 
* Dated: Aug 31, 2026, 3:05:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Target LR.RMS
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 2.5 Hz
*
* Freq(Hz) SPL(dB)
27.878765 77.294
28.080786 77.293
28.284271 77.292
28.489231 77.291
28.695675 77.290
28.903616 77.289
29.113064 77.287
29.324029 77.286
29.536523 77.285
29.750557 77.284
29.966142 77.283
30.183289 77.281
30.402009 77.280
30.622315 77.279
30.844217 77.277
31.067726 77.276
31.292856 77.274
31.519617 77.272
31.748021 77.271
31.978080 77.269
32.209807 77.268
32.443212 77.266
32.678309 77.264
32.915110 77.262
33.153626 77.260
33.393871 77.258
33.635857 77.256
33.879596 77.254
34.125101 77.252
34.372386 77.250
34.621462 77.248
34.872344 77.246
35.125043 77.244
35.379574 77.242
35.635949 77.239
35.894182 77.237
36.154286 77.234
36.416274 77.232
36.680162 77.229
36.945961 77.226
37.213687 77.224
37.483353 77.221
37.754973 77.218
38.028561 77.215
38.304131 77.212
38.581699 77.209
38.861278 77.206
39.142882 77.203
39.426528 77.199
39.712229 77.196
40.000000 77.193
40.289856 77.189
40.581813 77.186
40.875886 77.182
41.172089 77.178
41.470439 77.174
41.770951 77.170
42.073641 77.166
42.378524 77.162
42.685616 77.158
42.994934 77.154
43.306493 77.149
43.620309 77.145
43.936400 77.140
44.254781 77.135
44.575470 77.130
44.898482 77.126
45.223835 77.121
45.551545 77.115
45.881631 77.110
46.214108 77.105
46.548994 77.099
46.886308 77.093
47.226065 77.088
47.568285 77.082
47.912984 77.076
48.260181 77.070
48.609894 77.064
48.962142 77.057
49.316942 77.050
49.674312 77.044
50.034273 77.037
50.396842 77.030
50.762038 77.022
51.129881 77.015
51.500389 77.008
51.873582 77.000
52.249480 76.992
52.628101 76.985
53.009466 76.977
53.393594 76.968
53.780506 76.960
54.170222 76.951
54.562762 76.942
54.958146 76.933
55.356395 76.924
55.757531 76.914
56.161573 76.905
56.568542 76.895
56.978461 76.885
57.391351 76.875
57.807232 76.864
58.226127 76.853
58.648058 76.842
59.073046 76.831
59.501113 76.820
59.932283 76.809
60.366577 76.797
60.804018 76.785
61.244629 76.773
61.688433 76.760
62.135453 76.748
62.585712 76.734
63.039234 76.721
63.496042 76.708
63.956161 76.694
64.419613 76.680
64.886424 76.666
65.356618 76.652
65.830219 76.637
66.307252 76.622
66.787742 76.606
67.271713 76.591
67.759192 76.575
68.250203 76.558
68.744772 76.542
69.242925 76.525
69.744688 76.508
70.250086 76.491
70.759147 76.473
71.271897 76.455
71.788363 76.437
72.308571 76.418
72.832549 76.399
73.360323 76.380
73.891923 76.360
74.427374 76.341
74.966705 76.321
75.509945 76.300
76.057121 76.279
76.608262 76.258
77.163398 76.237
77.722555 76.215
78.285765 76.193
78.853056 76.170
79.424458 76.148
80.000000 76.125
80.579713 76.101
81.163627 76.078
81.751772 76.054
82.344179 76.029
82.940879 76.004
83.541903 75.980
84.147282 75.954
84.757048 75.929
85.371232 75.902
85.989867 75.876
86.612985 75.849
87.240619 75.822
87.872800 75.795
88.509563 75.768
89.150939 75.740
89.796964 75.712
90.447670 75.683
91.103091 75.654
91.763261 75.625
92.428216 75.595
93.097989 75.565
93.772615 75.536
94.452130 75.505
95.136569 75.475
95.825968 75.444
96.520362 75.412
97.219789 75.381
97.924283 75.350
98.633883 75.318
99.348625 75.286
100.068546 75.254
100.793684 75.221
101.524077 75.188
102.259762 75.155
103.000778 75.121
103.747164 75.088
104.498959 75.054
105.256202 75.021
106.018931 74.987
106.787188 74.953
107.561012 74.918
108.340444 74.884
109.125523 74.850
109.916292 74.815
110.712791 74.780
111.515061 74.744
112.323145 74.709
113.137085 74.674
113.956923 74.639
114.782702 74.604
115.614465 74.569
116.452255 74.533
117.296116 74.498
118.146092 74.462
119.002227 74.426
119.864566 74.391
120.733154 74.355
121.608036 74.320
122.489258 74.284
123.376866 74.249
124.270906 74.213
125.171424 74.178
126.078468 74.143
126.992084 74.107
127.912321 74.072
128.839227 74.037
129.772849 74.002
130.713236 73.967
131.660438 73.932
132.614504 73.898
133.575483 73.863
134.543426 73.829
135.518384 73.795
136.500406 73.760
137.489544 73.727
138.485850 73.693
139.489375 73.660
140.500173 73.626
141.518295 73.593
142.543795 73.561
143.576726 73.528
144.617142 73.495
145.665098 73.463
146.720647 73.431
147.783845 73.400
148.854748 73.368
149.933411 73.337
151.019890 73.306
152.114242 73.275
153.216525 73.245
154.326795 73.215
155.445111 73.185
156.571530 73.155
157.706112 73.126
158.848915 73.097
160.000000 73.068
161.159426 73.040
162.327254 73.012
163.503544 72.984
164.688358 72.957
165.881758 72.930
167.083805 72.903
168.294563 72.876
169.514095 72.850
170.742464 72.825
171.979734 72.799
173.225970 72.773
174.481237 72.749
175.745600 72.725
177.019125 72.700
178.301879 72.676
179.593928 72.653
180.895339 72.630
182.206182 72.607
183.526523 72.584
184.856431 72.562
186.195977 72.541
187.545230 72.519
188.904260 72.497
190.273138 72.477
191.651936 72.456
193.040725 72.436
194.439578 72.416
195.848567 72.396
197.267766 72.377
198.697250 72.358
200.137092 72.340
201.587368 72.321
203.048153 72.303
204.519524 72.285
206.001557 72.268
207.494329 72.251
208.997918 72.234
210.512403 72.217
212.037863 72.201
213.574377 72.185
215.122025 72.170
216.680888 72.154
218.251047 72.139
219.832584 72.124
221.425581 72.109
223.030122 72.095
224.646290 72.080
226.274170 72.067
227.913846 72.054
229.565404 72.040
231.228929 72.027
232.904509 72.015
234.592231 72.002
236.292183 71.990
238.004454 71.978
239.729132 71.966
241.466308 71.954
243.216073 71.943
244.978517 71.932
246.753732 71.921
248.541811 71.910
250.342848 71.899
252.156935 71.889
253.984168 71.879
255.824642 71.869
257.678453 71.860
259.545697 71.850
261.426473 71.841
263.320877 71.831
265.229008 71.822
267.150967 71.813
269.086853 71.805
271.036767 71.797
273.000811 71.789
274.979088 71.781
276.971700 71.773
278.978751 71.765
281.000346 71.757
283.036590 71.750
285.087590 71.743
287.153452 71.736
289.234284 71.729
291.330195 71.722
293.441294 71.716
295.567690 71.709
297.709496 71.703
299.866821 71.697
302.039780 71.691
304.228485 71.685
306.433050 71.679
308.653590 71.673
310.890221 71.668
313.143060 71.662
315.412224 71.657
317.697831 71.651
320.000000 71.646
322.318852 71.641
324.654507 71.636
327.007088 71.632
329.376716 71.627
331.763515 71.622
334.167610 71.618
336.589127 71.614
339.028190 71.610
341.484928 71.606
343.959469 71.602
346.451941 71.598
348.962474 71.594
351.491200 71.590
354.038251 71.587
356.603758 71.583
359.187855 71.579
361.790679 71.576
364.412363 71.572
367.053045 71.569
369.712863 71.566
372.391955 71.562
375.090460 71.559
377.808521 71.556
380.546277 71.553
383.303872 71.551
386.081450 71.548
388.879155 71.545
391.697134 71.542
394.535533 71.540
397.394500 71.537
400.274184 71.535
403.174736 71.532
406.096306 71.530
409.039048 71.528
412.003113 71.525
414.988657 71.523
417.995836 71.521
421.024807 71.519
424.075726 71.517
427.148753 71.515
430.244049 71.513
433.361775 71.511
436.502093 71.509
439.665167 71.507
442.851162 71.505
446.060244 71.503
449.292581 71.502
452.548340 71.500
455.827692 71.498
459.130807 71.496
462.457858 71.495
465.809019 71.493
469.184463 71.492
472.584367 71.490
476.008908 71.489
479.458265 71.488
482.932617 71.486
486.432146 71.485
489.957033 71.484
493.507464 71.483
497.083623 71.481
500.685695 71.480
504.313870 71.479
507.968337 71.478
511.649285 71.476
515.356906 71.475
519.091395 71.474
522.852945 71.473
526.641753 71.472
530.458016 71.471
534.301934 71.470
538.173706 71.469
542.073534 71.468
546.001623 71.467
549.958175 71.466
553.943399 71.465
557.957501 71.465
562.000691 71.464
566.073180 71.463
570.175180 71.462
574.306904 71.462
578.468569 71.461
582.660390 71.460
586.882588 71.459
591.135381 71.459
595.418991 71.458
599.733643 71.457
604.079560 71.457
608.456970 71.456
612.866100 71.456
617.307180 71.455
621.780442 71.454
626.286120 71.454
630.824447 71.453
635.395661 71.452
640.000000 71.452
644.637704 71.451
649.309014 71.451
654.014175 71.450
658.753431 71.450
663.527030 71.449
668.335221 71.449
673.178253 71.449
678.056380 71.448
682.969856 71.448
687.918938 71.448
692.903882 71.447
697.924949 71.447
702.982401 71.446
708.076501 71.446
713.207515 71.445
718.375711 71.445
723.581357 71.444
728.824726 71.444
734.106091 71.444
739.425726 71.443
744.783910 71.443
750.180921 71.443
755.617041 71.443
761.092554 71.442
766.607744 71.442
772.162900 71.442
777.758310 71.442
783.394268 71.441
789.071066 71.441
794.789000 71.441
800.548368 71.441
806.349472 71.440
812.192613 71.440
818.078095 71.440
824.006226 71.440
829.977315 71.439
835.991673 71.439
842.049613 71.439
848.151452 71.439
854.297507 71.438
860.488099 71.438
866.723550 71.438
873.004186 71.438
879.330334 71.437
885.702324 71.437
892.120489 71.437
898.585161 71.437
905.096680 71.437
911.655384 71.437
918.261614 71.437
924.915716 71.437
931.618037 71.436
938.368925 71.436
945.168733 71.436
952.017816 71.436
958.916529 71.436
965.865234 71.436
972.864291 71.436
979.914067 71.435
987.014928 71.434
994.167245 71.433
1001.371391 71.431
1008.627741 71.422
1015.936673 71.412
1023.298569 71.401
1030.713812 71.391
1038.182790 71.380
1045.705890 71.370
1053.283506 71.359
1060.916032 71.349
1068.603867 71.338
1076.347412 71.328
1084.147069 71.317
1092.003245 71.307
1099.916351 71.296
1107.886798 71.285
1115.915003 71.275
1124.001383 71.264
1132.146360 71.254
1140.350359 71.243
1148.613808 71.233
1156.937137 71.222
1165.320781 71.212
1173.765175 71.202
1182.270762 71.191
1190.837983 71.181
1199.467286 71.171
1208.159120 71.160
1216.913939 71.150
1225.732199 71.139
1234.614360 71.128
1243.560885 71.118
1252.572239 71.107
1261.648894 71.097
1270.791322 71.086
1280.000000 71.076
1289.275408 71.065
1298.618029 71.055
1308.028350 71.044
1317.506863 71.034
1327.054061 71.024
1336.670442 71.014
1346.356507 71.003
1356.112761 70.993
1365.939713 70.982
1375.837875 70.971
1385.807763 70.961
1395.849898 70.950
1405.964802 70.940
1416.153002 70.929
1426.415031 70.919
1436.751422 70.908
1447.162715 70.898
1457.649452 70.887
1468.212181 70.877
1478.851452 70.867
1489.567819 70.856
1500.361842 70.846
1511.234082 70.836
1522.185107 70.825
1533.215488 70.814
1544.325799 70.804
1555.516621 70.794
1566.788535 70.783
1578.142131 70.773
1589.577999 70.763
1601.096737 70.752
1612.698944 70.742
1624.385225 70.731
1636.156190 70.721
1648.012452 70.710
1659.954630 70.700
1671.983345 70.689
1684.099226 70.679
1696.302903 70.668
1708.595013 70.658
1720.976197 70.648
1733.447100 70.637
1746.008372 70.627
1758.660669 70.616
1771.404649 70.606
1784.240977 70.595
1797.170323 70.585
1810.193360 70.574
1823.310767 70.564
1836.523229 70.553
1849.831433 70.543
1863.236074 70.533
1876.737851 70.522
1890.337467 70.512
1904.035631 70.501
1917.833058 70.491
1931.730467 70.480
1945.728583 70.470
1959.828134 70.460
1974.029857 70.449
1988.334491 70.439
2002.742782 70.429
2017.255482 70.418
2031.873347 70.408
2046.597138 70.397
2061.427625 70.387
2076.365579 70.376
2091.411780 70.366
2106.567012 70.355
2121.832065 70.345
2137.207735 70.334
2152.694823 70.324
2168.294137 70.314
2184.006490 70.303
2199.832702 70.293
2215.773596 70.282
2231.830005 70.272
2248.002765 70.261
2264.292720 70.251
2280.700718 70.241
2297.227616 70.230
2313.874274 70.220
2330.641561 70.210
2347.530351 70.199
2364.541523 70.189
2381.675966 70.178
2398.934572 70.168
2416.318240 70.157
2433.827878 70.147
2451.464399 70.137
2469.228720 70.126
2487.121769 70.116
2505.144479 70.105
2523.297789 70.095
2541.582644 70.085
2560.000000 70.074
2578.550815 70.064
2597.236057 70.054
2616.056701 70.043
2635.013726 70.033
2654.108121 70.022
2673.340883 70.011
2692.713013 70.001
2712.225522 69.990
2731.879426 69.980
2751.675750 69.969
2771.615527 69.959
2791.699796 69.949
2811.929603 69.939
2832.306004 69.928
2852.830061 69.918
2873.502844 69.907
2894.325430 69.897
2915.298905 69.886
2936.424363 69.876
2957.702904 69.866
2979.135638 69.855
3000.723683 69.845
3022.468164 69.834
3044.370214 69.824
3066.430976 69.813
3088.651599 69.803
3111.033242 69.793
3133.577071 69.782
3156.284262 69.772
3179.155999 69.762
3202.193474 69.751
3225.397888 69.741
3248.770450 69.730
3272.312380 69.720
3296.024905 69.709
3319.909260 69.699
3343.966691 69.689
3368.198452 69.678
3392.605806 69.668
3417.190027 69.657
3441.952394 69.647
3466.894200 69.636
3492.016745 69.626
3517.321337 69.615
3542.809298 69.605
3568.481954 69.594
3594.340646 69.584
3620.386720 69.574
3646.621534 69.563
3673.046457 69.553
3699.662866 69.542
3726.472148 69.532
3753.475701 69.521
3780.674934 69.511
3808.071263 69.501
3835.666117 69.490
3863.460935 69.480
3891.457165 69.470
3919.656268 69.459
3948.059713 69.449
3976.668981 69.438
4005.485564 69.428
4034.510963 69.417
4063.746693 69.407
4093.194277 69.397
4122.855250 69.386
4152.731158 69.376
4182.823560 69.365
4213.134024 69.355
4243.664130 69.345
4274.415470 69.334
4305.389646 69.324
4336.588274 69.314
4368.012981 69.303
4399.665403 69.293
4431.547192 69.282
4463.660010 69.272
4496.005531 69.261
4528.585440 69.251
4561.401437 69.241
4594.455232 69.230
4627.748549 69.220
4661.283122 69.209
4695.060701 69.199
4729.083046 69.188
4763.351932 69.178
4797.869143 69.168
4832.636481 69.157
4867.655757 69.147
4902.928797 69.137
4938.457440 69.126
4974.243539 69.116
5010.288958 69.105
5046.595577 69.095
5083.165289 69.084
5120.000000 69.074
5157.101631 69.063
5194.472115 69.053
5232.113401 69.042
5270.027452 69.032
5308.216243 69.022
5346.681766 69.011
5385.426026 69.001
5424.451043 68.990
5463.758851 68.980
5503.351500 68.969
5543.231054 68.959
5583.399591 68.949
5623.859206 68.938
5664.612008 68.928
5705.660122 68.918
5747.005687 68.907
5788.650860 68.896
5830.597810 68.886
5872.848725 68.876
5915.405808 68.866
5958.271277 68.855
6001.447367 68.845
6044.936328 68.834
6088.740429 68.824
6132.861952 68.813
6177.303198 68.803
6222.066483 68.793
6267.154142 68.782
6312.568524 68.772
6358.311998 68.761
6404.386948 68.751
6450.795775 68.740
6497.540901 68.730
6544.624761 68.720
6592.049809 68.709
6639.818520 68.699
6687.933382 68.689
6736.396904 68.678
6785.211613 68.668
6834.380053 68.657
6883.904789 68.647
6933.788400 68.636
6984.033489 68.626
7034.642675 68.616
7085.618596 68.605
7136.963909 68.595
7188.681291 68.584
7240.773439 68.574
7293.243069 68.563
7346.092914 68.553
7399.325732 68.542
7452.944296 68.532
7506.951403 68.521
7561.349867 68.511
7616.142525 68.501
7671.332234 68.490
7726.921869 68.480
7782.914330 68.470
7839.312536 68.459
7896.119426 68.449
7953.337962 68.438
8010.971128 68.428
8069.021927 68.417
8127.493386 68.407
8186.388553 68.397
8245.710500 68.386
8305.462317 68.376
8365.647121 68.365
8426.268048 68.355
8487.328260 68.344
8548.830939 68.334
8610.779292 68.324
8673.176549 68.314
8736.025961 68.303
8799.330806 68.293
8863.094385 68.282
8927.320020 68.272
8992.011061 68.261
9057.170880 68.251
9122.802874 68.241
9188.910464 68.230
9255.497097 68.220
9322.566244 68.209
9390.121402 68.199
9458.166093 68.188
