* Measurement data measured by REW V5.40 beta 121
* Source: EQ window target shape
* Format: 
* Dated: Aug 12, 2026, 4:20:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Target RMS8 + phase average8
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 2.5 Hz
*
* Freq(Hz) SPL(dB)
27.878765 72.580
28.080786 72.572
28.284271 72.565
28.489231 72.556
28.695675 72.548
28.903616 72.540
29.113064 72.531
29.324029 72.522
29.536523 72.513
29.750557 72.504
29.966142 72.495
30.183289 72.485
30.402009 72.475
30.622315 72.465
30.844217 72.455
31.067726 72.444
31.292856 72.434
31.519617 72.423
31.748021 72.411
31.978080 72.400
32.209807 72.388
32.443212 72.377
32.678309 72.365
32.915110 72.352
33.153626 72.340
33.393871 72.327
33.635857 72.314
33.879596 72.300
34.125101 72.287
34.372386 72.273
34.621462 72.258
34.872344 72.244
35.125043 72.229
35.379574 72.215
35.635949 72.199
35.894182 72.183
36.154286 72.167
36.416274 72.151
36.680162 72.135
36.945961 72.118
37.213687 72.101
37.483353 72.084
37.754973 72.067
38.028561 72.049
38.304131 72.030
38.581699 72.012
38.861278 71.993
39.142882 71.973
39.426528 71.954
39.712229 71.934
40.000000 71.914
40.289856 71.893
40.581813 71.872
40.875886 71.851
41.172089 71.830
41.470439 71.808
41.770951 71.786
42.073641 71.763
42.378524 71.741
42.685616 71.717
42.994934 71.694
43.306493 71.670
43.620309 71.645
43.936400 71.621
44.254781 71.596
44.575470 71.571
44.898482 71.545
45.223835 71.519
45.551545 71.493
45.881631 71.467
46.214108 71.440
46.548994 71.413
46.886308 71.385
47.226065 71.357
47.568285 71.329
47.912984 71.300
48.260181 71.271
48.609894 71.241
48.962142 71.212
49.316942 71.181
49.674312 71.151
50.034273 71.120
50.396842 71.089
50.762038 71.058
51.129881 71.026
51.500389 70.994
51.873582 70.962
52.249480 70.929
52.628101 70.896
53.009466 70.862
53.393594 70.828
53.780506 70.794
54.170222 70.760
54.562762 70.725
54.958146 70.690
55.356395 70.655
55.757531 70.619
56.161573 70.583
56.568542 70.547
56.978461 70.510
57.391351 70.473
57.807232 70.436
58.226127 70.398
58.648058 70.360
59.073046 70.322
59.501113 70.284
59.932283 70.245
60.366577 70.206
60.804018 70.167
61.244629 70.128
61.688433 70.088
62.135453 70.048
62.585712 70.008
63.039234 69.967
63.496042 69.927
63.956161 69.886
64.419613 69.844
64.886424 69.803
65.356618 69.761
65.830219 69.719
66.307252 69.677
66.787742 69.635
67.271713 69.592
67.759192 69.550
68.250203 69.507
68.744772 69.464
69.242925 69.421
69.744688 69.378
70.250086 69.334
70.759147 69.291
71.271897 69.248
71.788363 69.204
72.308571 69.160
72.832549 69.117
73.360323 69.073
73.891923 69.029
74.427374 68.985
74.966705 68.941
75.509945 68.897
76.057121 68.854
76.608262 68.810
77.163398 68.767
77.722555 68.723
78.285765 68.680
