* Measurement data measured by REW V5.30.9
* Source: /home/giacomo/DRC/DRC-120/X801.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Nov 22, 2024 2:51:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from /home/giacomo/DRC/DRC-120/X801.wav 131071 samples (2.73 s) of 64-bit Float data at 48 kHz
* Measurement: X801
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
24.169920 0.000 12.0367
24.536131 0.000 12.2196
24.902342 0.000 12.4025
25.268553 0.000 12.5855
25.634764 0.000 12.7685
26.000974 0.000 12.9515
26.367185 0.000 13.1346
26.733396 0.000 13.3177
27.099607 0.000 13.5008
27.465818 0.000 13.6839
27.832029 0.000 13.8671
28.198240 0.000 14.0503
28.564451 0.000 14.2335
28.930662 0.000 14.4167
29.296873 0.000 14.6000
29.663084 0.000 14.7833
30.029294 0.000 14.9666
30.395505 0.000 15.1500
30.761716 0.000 15.3333
31.127927 0.000 15.5168
31.494138 0.000 15.7002
31.860349 0.000 15.8837
32.226560 0.000 16.0672
32.592771 0.000 16.2508
32.958982 0.000 16.4343
33.325193 0.000 16.6180
33.691404 0.000 16.8016
34.057614 0.000 16.9853
34.423825 0.000 17.1690
34.790036 0.000 17.3527
35.156247 0.000 17.5365
35.522458 0.000 17.7203
35.888669 0.000 17.9042
36.254880 0.000 18.0881
36.621091 0.000 18.2720
36.987302 0.000 18.4560
37.353513 0.000 18.6400
37.719724 0.000 18.8240
38.085934 0.000 19.0081
38.452145 0.000 19.1922
38.818356 0.000 19.3763
39.184567 0.000 19.5605
39.550778 0.000 19.7447
39.916989 0.000 19.9290
40.283200 0.000 20.1133
40.649411 0.000 20.2977
41.015622 0.000 20.4820
41.381833 0.000 20.6665
41.748044 0.000 20.8509
42.114254 0.000 21.0354
42.480465 0.000 21.2200
42.846676 0.000 21.4046
43.212887 0.000 21.5892
43.579098 0.000 21.7739
43.945309 0.000 21.9586
44.311520 0.000 22.1433
44.677731 0.000 22.3281
45.043942 0.000 22.5130
45.410153 0.000 22.6979
45.776363 0.000 22.8828
46.142574 0.000 23.0678
46.508785 0.000 23.2528
46.874996 0.000 23.4379
47.241207 0.000 23.6230
47.607418 0.000 23.8082
47.973629 0.000 23.9934
48.339840 0.000 24.1786
48.706051 0.000 24.3639
49.072262 0.000 24.5493
49.438473 0.000 24.7347
49.804683 0.000 24.9201
50.170894 0.000 25.1056
50.537105 0.000 25.2912
50.903316 0.000 25.4768
51.269527 0.000 25.6624
51.635738 0.000 25.8481
52.001949 0.000 26.0338
52.368160 0.000 26.2196
52.734371 0.000 26.4055
53.100582 0.000 26.5913
53.466793 0.000 26.7773
53.833003 0.000 26.9633
54.199214 0.000 27.1493
54.565425 0.000 27.3354
54.931636 0.000 27.5216
55.297847 0.000 27.7078
55.664058 0.000 27.8941
56.030269 0.000 28.0804
56.396480 0.000 28.2667
56.762691 0.000 28.4532
57.128902 0.000 28.6396
57.495113 0.000 28.8262
57.861323 0.000 29.0127
58.227534 0.000 29.1994
58.593745 0.000 29.3861
58.959956 0.000 29.5728
59.326167 0.000 29.7596
59.692378 0.000 29.9465
60.058589 0.000 30.1334
60.424800 0.000 30.3204
60.791011 0.000 30.5075
61.157222 0.000 30.6945
61.523433 0.000 30.8817
61.889643 0.000 31.0689
62.255854 0.000 31.2562
62.622065 0.000 31.4435
62.988276 0.000 31.6309
63.354487 0.000 31.8183
63.720698 0.000 32.0058
64.086909 0.000 32.1934
64.453120 0.000 32.3810
64.819331 0.000 32.5687
65.185542 0.000 32.7565
65.551753 0.000 32.9443
65.917963 0.000 33.1321
66.284174 0.000 33.3201
66.650385 0.000 33.5081
67.016596 0.000 33.6961
67.382807 0.000 33.8843
67.749018 0.000 34.0724
68.115229 0.000 34.2607
68.481440 0.000 34.4490
68.847651 0.000 34.6374
69.213862 0.000 34.8258
69.580072 0.000 35.0143
69.946283 0.000 35.2029
70.312494 0.000 35.3915
70.678705 0.000 35.5802
71.044916 0.000 35.7690
71.411127 0.000 35.9578
71.777338 0.000 36.1467
72.143549 0.000 36.3357
72.509760 0.000 36.5247
72.875971 0.000 36.7138
73.242182 0.000 36.9030
73.608392 0.000 37.0922
73.974603 0.000 37.2815
74.340814 0.000 37.4709
74.707025 0.000 37.6603
75.073236 0.000 37.8498
75.439447 0.000 38.0394
75.805658 0.000 38.2290
76.171869 0.000 38.4187
76.538080 0.000 38.6085
76.904291 0.000 38.7983
77.270502 0.000 38.9883
77.636712 0.000 39.1782
78.002923 0.000 39.3683
78.369134 0.000 39.5584
78.735345 0.000 39.7486
79.101556 0.000 39.9389
79.467767 0.000 40.1292
79.833978 0.000 40.3197
80.200189 0.000 40.5102
80.566400 0.000 40.7007
80.932611 0.000 40.8914
81.298822 0.000 41.0821
81.665032 0.000 41.2728
82.031243 0.000 41.4637
82.397454 0.000 41.6546
82.763665 0.000 41.8456
83.129876 0.000 42.0367
83.496087 0.000 42.2278
83.862298 0.000 42.4190
84.228509 0.000 42.6103
84.594720 0.000 42.8017
84.960931 0.000 42.9932
85.327142 0.000 43.1847
85.693352 0.000 43.3763
86.059563 0.000 43.5679
86.425774 0.000 43.7597
86.791985 0.000 43.9515
87.158196 0.000 44.1434
87.524407 0.000 44.3354
87.890618 0.000 44.5274
88.256829 0.000 44.7196
88.623040 0.000 44.9118
88.989251 0.000 45.1040
89.355462 0.000 45.2964
89.721672 0.000 45.4888
90.087883 0.000 45.6814
90.454094 0.000 45.8740
90.820305 0.000 46.0666
91.186516 0.000 46.2594
91.552727 0.000 46.4522
91.918938 0.000 46.6451
92.285149 0.000 46.8381
92.651360 0.000 47.0312
93.017571 0.000 47.2243
93.383781 0.000 47.4176
93.749992 0.000 47.6109
94.116203 0.000 47.8043
94.482414 0.000 47.9977
94.848625 0.000 48.1913
95.214836 0.000 48.3849
95.581047 0.000 48.5786
95.947258 0.000 48.7724
96.313469 0.000 48.9663
96.679680 0.000 49.1602
97.045891 0.000 49.3543
97.412101 0.000 49.5484
97.778312 0.000 49.7426
98.144523 0.000 49.9369
98.510734 0.000 50.1312
98.876945 0.000 50.3257
99.243156 0.000 50.5202
99.609367 0.000 50.7148
99.975578 0.000 50.9095
100.341789 0.000 51.1043
100.708000 0.000 51.2992
101.074211 0.000 51.4941
101.440421 0.000 51.6891
101.806632 0.000 51.8843
102.172843 0.000 52.0794
102.539054 0.000 52.2747
102.905265 0.000 52.4701
103.271476 0.000 52.6655
103.637687 0.000 52.8611
104.003898 0.000 53.0567
104.370109 0.000 53.2524
104.736320 0.000 53.4482
105.102531 0.000 53.6440
105.468741 0.000 53.8400
105.834952 0.000 54.0361
106.201163 0.000 54.2322
106.567374 0.000 54.4284
106.933585 0.000 54.6247
107.299796 0.000 54.8211
107.666007 0.000 55.0176
108.032218 0.000 55.2141
108.398429 0.000 55.4108
108.764640 0.000 55.6075
109.130851 0.000 55.8043
109.497061 0.000 56.0012
109.863272 0.000 56.1982
110.229483 0.000 56.3953
110.595694 0.000 56.5924
110.961905 0.000 56.7897
111.328116 0.000 56.9870
111.694327 0.000 57.1844
112.060538 0.000 57.3820
112.426749 0.000 57.5795
112.792960 0.000 57.7772
113.159171 0.000 57.9750
113.525381 0.000 58.1729
113.891592 0.000 58.3708
114.257803 0.000 58.5689
114.624014 0.000 58.7670
114.990225 0.000 58.9652
115.356436 0.000 59.1635
115.722647 0.000 59.3619
116.088858 0.000 59.5604
116.455069 0.000 59.7589
116.821280 0.000 59.9576
117.187490 0.000 60.1563
117.553701 0.000 60.3552
117.919912 0.000 60.5541
118.286123 0.000 60.7531
118.652334 0.000 60.9522
119.018545 0.000 61.1514
119.384756 0.000 61.3506
119.750967 0.000 61.5500
120.117178 0.000 61.7494
120.483389 0.000 61.9490
120.849600 0.000 62.1486
121.215810 0.000 62.3483
121.582021 0.000 62.5481
121.948232 0.000 62.7480
122.314443 0.000 62.9480
122.680654 0.000 63.1481
123.046865 0.000 63.3483
123.413076 0.000 63.5485
123.779287 0.000 63.7489
124.145498 0.000 63.9493
124.511709 0.000 64.1498
124.877920 0.000 64.3504
125.244130 0.000 64.5511
125.610341 0.000 64.7519
125.976552 0.000 64.9528
126.342763 0.000 65.1538
126.708974 0.000 65.3548
127.075185 0.000 65.5560
127.441396 0.000 65.7572
127.807607 0.000 65.9586
128.173818 0.000 66.1600
128.540029 0.000 66.3615
128.906240 0.000 66.5631
129.272450 0.000 66.7648
129.638661 0.000 66.9665
130.004872 0.000 67.1684
130.371083 0.000 67.3704
130.737294 0.000 67.5724
131.103505 0.000 67.7746
131.469716 0.000 67.9768
131.835927 0.000 68.1791
132.202138 0.000 68.3815
132.568349 0.000 68.5840
132.934560 0.000 68.7866
133.300770 0.000 68.9892
133.666981 0.000 69.1920
134.033192 0.000 69.3948
134.399403 0.000 69.5978
134.765614 0.000 69.8008
135.131825 0.000 70.0039
135.498036 0.000 70.2071
135.864247 0.000 70.4104
136.230458 0.000 70.6138
136.596669 0.000 70.8173
136.962880 0.000 71.0209
137.329090 0.000 71.2245
137.695301 0.000 71.4282
138.061512 0.000 71.6321
138.427723 0.000 71.8360
138.793934 0.000 72.0400
139.160145 0.000 72.2441
139.526356 0.000 72.4483
139.892567 0.000 72.6526
140.258778 0.000 72.8569
140.624989 0.000 73.0614
140.991199 0.000 73.2659
141.357410 0.000 73.4705
141.723621 0.000 73.6753
142.089832 0.000 73.8801
142.456043 0.000 74.0849
142.822254 0.000 74.2899
143.188465 0.000 74.4950
143.554676 0.000 74.7001
143.920887 0.000 74.9054
144.287098 0.000 75.1107
144.653309 0.000 75.3161
145.019519 0.000 75.5216
145.385730 0.000 75.7272
145.751941 0.000 75.9329
146.118152 0.000 76.1387
146.484363 0.000 76.3445
146.850574 0.000 76.5504
147.216785 0.000 76.7565
147.582996 0.000 76.9626
147.949207 0.000 77.1688
148.315418 0.000 77.3751
148.681629 0.000 77.5814
149.047839 0.000 77.7879
149.414050 0.000 77.9944
149.780261 0.000 78.2010
150.146472 0.000 78.4078
150.512683 0.000 78.6146
150.878894 0.000 78.8214
151.245105 0.000 79.0284
151.611316 0.000 79.2355
151.977527 0.000 79.4426
152.343738 0.000 79.6498
152.709949 0.000 79.8571
153.076159 0.000 80.0645
153.442370 0.000 80.2720
153.808581 0.000 80.4795
154.174792 0.000 80.6872
154.541003 0.000 80.8949
154.907214 0.000 81.1027
155.273425 0.000 81.3106
155.639636 0.000 81.5186
156.005847 0.000 81.7266
156.372058 0.000 81.9348
156.738269 0.000 82.1430
157.104479 0.000 82.3513
157.470690 0.000 82.5597
157.836901 0.000 82.7682
158.203112 0.000 82.9767
158.569323 0.000 83.1853
158.935534 0.000 83.3941
159.301745 0.000 83.6028
159.667956 0.000 83.8117
160.034167 0.000 84.0207
160.400378 0.000 84.2297
160.766589 0.000 84.4388
161.132799 0.000 84.6480
161.499010 0.000 84.8573
161.865221 0.000 85.0666
162.231432 0.000 85.2761
